name	friendly_name	install_dir	download_url	[empty]	status
TweakScaleCompanion_AirCrafts	TweakScale Companion for AirCrafts	GameDatabase::TweakScaleCompanion::AirCrafts	https://github.com/TweakScale/Companion_AirCrafts/releases		stable
TweakScaleCompanion_ChitChat	TweakScale Companion Chit Chat	GameDatabase::TweakScaleCompanion::ChitChat	https://github.com/TweakScale/Companion_ChitChat/releases		unreleased
TweakScaleCompanion_FitAndHealth	TweakScale Companion Fitness & Health	GameDatabase::TweakScaleCompanion::FitAndHealth	https://github.com/TweakScale/Companion_FitAndHealth/releases		unreleased
TweakScaleCompanion_FS	TweakScale Companion for Firespitter	GameDatabase::TweakScaleCompanion::FS	https://github.com/TweakScale/Companion_FS/releases		stable
TweakScaleCompanion_KIAS	TweakScale Companion for Kerbal Inventory & Attachment Systems	GameDatabase::TweakScaleCompanion::KIAS	https://github.com/TweakScale/Companion_KIAS/releases		stable
TweakScaleCompanion_Legacy	TweakScale Companion Legacy	GameDatabase::TweakScaleCompanion::Legacy	https://github.com/TweakScale/Companion_Legacy/releases		unreleased
TweakScaleCompanion_LivingStyle	TweakScale Companion Living Style	GameDatabase::TweakScaleCompanion::LivingStyle	https://github.com/TweakScale/Companion_LivingStyle/releases		beta
TweakScaleCompanion_MFT	TweakScale Companion for Modular Fuel Tanks	GameDatabase::TweakScaleCompanion::MFT	https://github.com/TweakScale/Companion_MFT/releases		unreleased
TweakScaleCompanion_Multipass	TweakScale Companion Multipass	GameDatabase::TweakScaleCompanion::Multipass	https://github.com/TweakScale/Companion_Multipass/releases		beta
TweakScaleCompanion_OPT	TweakScale Companion for OPT	GameDatabase::TweakScaleCompanion::OPT	https://github.com/TweakScale/Companion_OPT/releases		alpha
TweakScaleCompanion_ReStockPlus	TweakScale Companion for ReStockPlus	GameDatabase::TweakScaleCompanion::ReStockPlus	https://github.com/TweakScale/Companion_ReStockPlus/releases		stable
TweakScaleCompanion_Rockets	TweakScale Companion Rockets	GameDatabase::TweakScaleCompanion::Rockets	https://github.com/TweakScale/Companion_Rockets/releases		beta
TweakScaleCompanion_SMCE	TweakScale Companion SMCE (SpannerMonkey)	GameDatabase::TweakScaleCompanion::SMCE	https://github.com/TweakScale/Companion_SMCE/releases		beta
TweakScaleCompanion_Frameworks	TweakScale Companion Frameworks	GameDatabase::TweakScaleCompanion::Frameworks	https://github.com/TweakScale/Companion_Frameworks/releases		stable
TweakScaleCompanion_PKMC	TweakScale Companion PKMC	GameDatabase::TweakScaleCompanion::PKMC	https://github.com/TweakScale/Companion_PKMC/releases		stable
TweakScaleCompanion_US	TweakScale Companion for Universal Storage	GameDatabase::TweakScaleCompanion::US	https://github.com/TweakScale/Companion_US/releases		unreleased
TweakScaleCompanion_FuelSwitches	TweakScale Companion for Fuel Switches	GameDatabase::TweakScaleCompanion::FuelSwitches	https://github.com/TweakScale/Companion_FuelSwitches/releases		unreleased
TweakScaleCompanion_KIS	TweakScale Companion for Kerbal Inventory System (KIS)	GameDatabase::TweakScaleCompanion::KIS	https://github.com/TweakScale/Companion_KIAS/releases		deprecated
TweakScaleCompanion_NF	TweakScale Companion for Near Future	GameDatabase::TweakScaleCompanion::NF	https://github.com/TweakScale/Companion_PKMC/releases		deprecated
TweakScaleCompanion_NFS	TweakScale Companion for Near Future Solar	GameDatabase::TweakScaleCompanion::NFS	https://github.com/TweakScale/Companion_PKMC/releases		deprecated
TweakScaleCompanion_Visuals	TweakScale Companion for Visuals Add’Ons	GameDatabase::TweakScaleCompanion::Visuals	https://github.com/TweakScale/Companion_Frameworks/releases		deprecated
TweakScaleCompanion_EyeCandies	TweakScale Companion for Eye Candies Add’Ons	GameDatabase::TweakScaleCompanion::EyeCandies	https://github.com/TweakScale/Companion_Frameworks/releases		deprecated
TweakScaleCompanion_APlus	TweakScale Companion for Airplane Plus (old release)	GameDatabase::TweakScaleCompanion::APlus	https://github.com/TweakScale/Companion_APP/releases		deprecated
TweakScaleCompanion_APP	TweakScale Companion for Airplane Plus	GameDatabase::TweakScaleCompanion::APP	https://github.com/TweakScale/Companion_APP/releases		deprecated
TweakScaleCompanion_NAP	TweakScale Companion for Neist Airliner	GameDatabase::TweakScaleCompanion::NAP	https://github.com/TweakScale/Companion_NAP/releases		deprecated
